State,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Policies,Policy Type,Policy,Renew Offer Type,Total Claim Amount,Vehicle Class,Vehicle Size,Customer Lifetime Value
Washington,Basic,Bachelor,2/24/2011,Employed,F,56274,Suburban,Married,69,32,5,1,Corporate Auto,Corporate L3,Offer1,384.811147,Two-Door Car,Medsize,2763.519279
Arizona,Extended,Bachelor,1/31/2011,Unemployed,F,0,Suburban,Single,94,13,42,8,Personal Auto,Personal L3,Offer3,1131.464935,Four-Door Car,Medsize,6979.535903
Nevada,Premium,Bachelor,2/19/2011,Employed,F,48767,Suburban,Married,108,18,38,2,Personal Auto,Personal L3,Offer1,566.472247,Two-Door Car,Medsize,12887.43165
California,Basic,Bachelor,1/20/2011,Unemployed,M,0,Suburban,Married,106,18,65,7,Corporate Auto,Corporate L2,Offer1,529.881344,SUV,Medsize,7645.861827
Washington,Basic,Bachelor,2/3/2011,Employed,M,43836,Rural,Single,73,12,44,1,Personal Auto,Personal L1,Offer1,138.130879,Four-Door Car,Medsize,2813.692575
Oregon,Basic,Bachelor,1/25/2011,Employed,F,62902,Rural,Married,69,14,94,2,Personal Auto,Personal L3,Offer2,159.383042,Two-Door Car,Medsize,8256.2978
Oregon,Basic,College,2/24/2011,Employed,F,55350,Suburban,Married,67,0,13,9,Corporate Auto,Corporate L3,Offer1,321.6,Four-Door Car,Medsize,5380.898636
Arizona,Premium,Master,1/18/2011,Unemployed,M,0,Urban,Single,101,0,68,4,Corporate Auto,Corporate L3,Offer1,363.02968,Four-Door Car,Medsize,7216.100311
Oregon,Basic,Bachelor,1/26/2011,Medical Leave,M,14072,Suburban,Divorced,71,13,3,2,Corporate Auto,Corporate L3,Offer1,511.2,Four-Door Car,Medsize,24127.50402
Oregon,Extended,College,2/17/2011,Employed,F,28812,Urban,Married,93,17,7,8,Special Auto,Special L2,Offer2,425.527834,Four-Door Car,Medsize,7388.178085
California,Basic,College,2/21/2011,Unemployed,M,0,Suburban,Single,67,23,5,3,Personal Auto,Personal L3,Offer1,482.4,Four-Door Car,Small,4738.992022
California,Basic,College,1/6/2011,Unemployed,F,0,Suburban,Married,110,27,87,3,Personal Auto,Personal L3,Offer2,528,SUV,Medsize,8197.197078
California,Premium,Master,2/6/2011,Employed,M,77026,Urban,Married,110,9,82,3,Corporate Auto,Corporate L1,Offer2,472.029737,Four-Door Car,Medsize,8798.797003
Arizona,Basic,High School or Below,1/10/2011,Employed,M,99845,Suburban,Married,110,23,25,8,Corporate Auto,Corporate L3,Offer2,528,SUV,Medsize,8819.018934
California,Basic,College,1/18/2011,Employed,M,83689,Urban,Single,70,21,10,8,Corporate Auto,Corporate L3,Offer4,307.139132,Four-Door Car,Medsize,5384.431665
